Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
360 ENERGY SOLAR SA,Argentina,,Corporate - Energy,Green,1,0.02bn,,,
A.P. MOLLER - MAERSK A/S,Denmark,,Corporate - Industrials,Green,1,0.57bn,,Cicero,Nov-21
A2A S.P.A.,Italy,,Corporate - Utilities,Green,5,2.87bn,,Vigeo Eiris,Feb-22
A2A S.P.A.,Italy,,Corporate - Utilities,Sustainability Linked Bonds,2,1.14bn,,Vigeo Eiris,Feb-22
AAREAL BANK AG,Germany,,Financials - Consumer Finance,Green,2,1.07bn,Aug-21,Sustainalytics,Aug-21
AARGAUISCHE KANTONALBANK,Switzerland,,Financials - Banking,Green,2,0.21bn,,ISS-Oekom,May-21
AB ELECTROLUX (PUBL),Sweden,,Corporate - Consumer Discretionary,Green,6,0.60bn,,Cicero,Sep-22
AB IGNITIS GRUPE,Lithuania,,Corporate - Utilities,Green,2,0.69bn,,Cicero,Jun-17
ABANCA CORP BANCARIA SA,Spain,,Financials - Banking,Green,2,1.09bn,Jul-21,Sustainalytics,Jul-21
ABEILLE VIE,France,,Financials - Insurance,Sustainability,1,0.50bn,Aug-22,Moody's,Aug-22
ABERTIS INFRAESTRUCTURAS SA,Spain,,Corporate - Industrials,Sustainability Linked Bonds,1,0.65bn,Dec-22,Sustainalytics,Dec-22
ABN AMRO BANK N.V.,Netherlands,,Financials - Banking,Green,11,8.88bn,,ISS-Oekom,Mar-21
ABSA BANK LIMITED,South Africa,,Financials - Banking,Green,3,0.16bn,May-22,Other,May-22
ABSA GROUP LTD,South Africa,,Financials - Banking,Green,1,0.11bn,May-22,Other,May-22
ABU DHABI COMMERCIAL BANK P.J.S.C.,United Arab Emirates,,Financials - Banking,Green,1,0.50bn,,ISS-Oekom,Aug-22
ABU DHABI NATIONAL ENERGY CO PJSC,United Arab Emirates,,Corporate - Utilities,Green,2,1.00bn,,Moody's,Apr-23
AC ENERGY FINANCE INTERNATIONAL LTD,Cayman Islands,,Corporate - Utilities,Green,4,1.17bn,Jan-19,Sustainalytics,Jan-19
ACCESS BANK PLC,Nigeria,,Financials - Banking,Green,2,0.09bn,,S&P,Dec-21
ACCIONA ENERGIA FINANCIACION FILIALES SA,Spain,,Corporate - Energy,Green,3,1.70bn,Nov-19,Sustainalytics,Nov-19
ACCIONA FINANCIACION FILIALES SA,Spain,,Corporate - Industrials,Green,33,2.34bn,Nov-19,Sustainalytics,Nov-19
ACCOR,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.79bn,,Sustainalytics,Nov-21
ACEA S.P.A.,Italy,,Corporate - Utilities,Green,3,1.85bn,,ISS-Oekom,Jan-21
ACEF HOLDING SCA,Luxembourg,,Financials - Real estate,Green,2,1.19bn,May-21,Sustainalytics,May-21
ACEN FINANCE LTD,Cayman Islands,,Corporate - Utilities,Green,1,0.40bn,Aug-21,Sustainalytics,Aug-21
ACHMEA BV,Netherlands,,Financials - Insurance,Green,1,0.51bn,,ISS-Oekom,Feb-22
ACORN PROJECT TWO LLP,Kenya,,Financials - Real estate,Green,1,0.04bn,,Climate Bonds Initiative Certified,Apr-19
ACS SERVICIOS COMUNICACIONES Y ENERGIA SL,Spain,,Corporate - Industrials,Green,1,0.92bn,,S&P,Apr-18
ACTION LOGEMENT SERVICES SAS,France,,SSA - Agencies,Sustainability,6,6.90bn,,Vigeo Eiris,Sep-19
ACTIVIA PROPERTIES INC,Japan,,Financials - Real estate,Green,5,0.18bn,Dec-18,Sustainalytics,Dec-18
ACUON CAPITAL CORP,Korea,,Financials - Financial services,Sustainability,14,0.25bn,,Deloitte,Feb-21
ADANI ELECTRICITY MUMBAI LTD,India,,Corporate - Utilities,Sustainability Linked Bonds,2,0.30bn,,Vigeo Eiris,Jul-21
ADANI GREEN ENERGY LTD,India,,Corporate - Utilities,Green,2,0.75bn,,Vigeo Eiris,Aug-21
ADANI GREEN ENERGY UP LTD / PRAYATNA DEVELOPERS PVT LTD / PARAMPUJYA SOLAR ENERG,India,,Corporate - Utilities,Green,2,0.50bn,,KPMG,Feb-19
ADANI RENEWABLE ENERGY RJ LTD/KODANGAL SOLAR PARKS PVT LTD/WARDHA SOLAR MAHARASH,India,,Corporate - Utilities,Green,2,0.36bn,,KPMG,Sep-19
ADIDAS AG,Germany,,Corporate - Consumer Discretionary,Sustainability,1,0.58bn,Sep-20,Sustainalytics,Sep-20
ADIF ALTA VELOCIDAD,Spain,,SSA - Agencies,Green,7,4.48bn,Jun-17,Other,Aug-22
ADVANCE RESIDENCE INVESTMENT CORP,Japan,,Financials - Real estate,Green,4,0.10bn,Jun-19,Japan Credit Rating Agency,Jun-19
ADVANCED SOLTECH SWEDEN AB,Sweden,,Corporate - Energy,Green,2,0.02bn,,Cicero,Apr-17
AEDAS HOMES OPCO SLU,Spain,,Financials - Real estate,Green,2,0.39bn,,S&P,May-21
AEDIFICA SA,Belgium,,Financials - Real estate,Sustainability,1,0.59bn,Feb-22,ISS-Oekom,Aug-21
AEGEA FINANCE SARL,Luxembourg,,Corporate - Utilities,Sustainability Linked Bonds,2,0.50bn,Mar-22,Sustainalytics,Mar-22
AEON MALL CO LTD,Japan,,Financials - Real estate,Sustainability,2,0.29bn,Aug-20,Other,Aug-20
AEON MALL CO LTD,Japan,,Financials - Real estate,Sustainability Linked Bonds,1,0.32bn,Apr-22,Other,Apr-22
AEON REIT INVESTMENT CORP,Japan,,Financials - Real estate,Green,1,0.11bn,Nov-19,Japan Credit Rating Agency,Nov-19
AEROPORTI DI ROMA S.P.A.,Italy,,Corporate - Industrials,Green,1,0.36bn,,S&P,Nov-20
AEROPORTI DI ROMA S.P.A.,Italy,,Corporate - Industrials,Sustainability Linked Bonds,1,0.60bn,Apr-21,Sustainalytics,Apr-21
AES ANDES S.A.,Chile,,Corporate - Utilities,Green,2,0.45bn,Sep-19,Sustainalytics,Sep-19
AES CAJUINA AB1 HOLDINGS SA,Brazil,,Corporate - Utilities,Green,1,0.19bn,Sep-22,Other,Sep-22
AES CORP/THE,United States,,Corporate - Utilities,Green,6,3.59bn,,,
AFLAC INC,United States,,Financials - Insurance,Sustainability,1,0.40bn,Mar-21,Sustainalytics,Mar-21
AFRICA FINANCE CORP,Supranationals,,SSA - Supranationals,Green,1,0.16bn,,ISS-Oekom,Sep-20
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Green,8,0.89bn,,Cicero,Sep-13
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Social,11,4.55bn,Sep-17,Sustainalytics,Sep-17
AGDER ENERGI AS,Norway,,Corporate - Utilities,Green,2,0.16bn,,Cicero,Oct-17
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,,SSA - Quasi-sovereigns,Green,5,4.18bn,,Vigeo Eiris,Oct-20
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,,SSA - Quasi-sovereigns,Sustainability,10,12.50bn,,Vigeo Eiris,Oct-20
AGENCE FRANCE LOCALE,France,,SSA - Quasi-sovereigns,Sustainability,3,1.25bn,,Vigeo Eiris,Jan-20
AGENCE METROPOLITAINE DES DECHETS MENAGERS,France,,Corporate - Industrials,Green,12,0.17bn,,Vigeo Eiris,Mar-20
AGENZIA NAZIONALE PER L’ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D’IMPRESA S.P.A.,Italy,,SSA - Agencies,Social,1,0.35bn,,DNV GL,Oct-22
