bond_id,source_dataset,isin,issuer_name,issuer_type,country,currency,amount_issued,amount_issued_usd,issue_date,issue_year,maturity_date,maturity_year,use_of_proceeds,external_review_type,certification,claimed_impact_co2_tons,actual_impact_co2_tons,impact_source
WB-XS2913418377,,XS2913418377,IBRD,Multilateral Dev Bank,World,BRL,60000000.0,11290929.62,2025-09-23,2025.0,2031-10-09,2031.0,Green,,World Bank Green Bond,,,
WB-US45906M4W82,,US45906M4W82,IBRD,Multilateral Dev Bank,World,USD,30000000.0,30000000.0,2024-02-16,2024.0,2029-02-16,2029.0,Green,,World Bank Green Bond,,,
WB-XS2439224705,,XS2439224705,IBRD,Multilateral Dev Bank,World,BRL,200000000.0,40650406.5,2024-02-01,2024.0,2029-02-09,2029.0,Green,,World Bank Green Bond,,,
WB-XS2437747210,,XS2437747210,IBRD,Multilateral Dev Bank,World, CNH ,200000000.0,27892057.74,2024-01-30,2024.0,2029-01-19,2029.0,Green,,World Bank Green Bond,,,
WB-XS2749786195,,XS2749786195,IBRD,Multilateral Dev Bank,World, INR ,4500000000.0,54171180.93,2024-01-25,2024.0,2031-01-25,2031.0,Green,,World Bank Green Bond,,,
WB-XS2707161308,,XS2707161308,IBRD,Multilateral Dev Bank,World, CNH ,150000000.0,20939484.89,2024-01-16,2024.0,2031-01-13,2031.0,Green,,World Bank Green Bond,,,
WB-XS2735317930,,XS2735317930,IBRD,Multilateral Dev Bank,World,SEK,2500000000.0,239005736.14,2023-12-18,2023.0,2028-12-18,2028.0,Green,,World Bank Green Bond,,,
WB-XS2390290786,,XS2390290786,IBRD,Multilateral Dev Bank,World,AUD,30000000.0,19065000.0,2023-10-25,2023.0,2036-09-30,2036.0,Green,,World Bank Green Bond,,,
WB-XS2681932518,,XS2681932518,IBRD,Multilateral Dev Bank,World,KZT,5000000000.0,10474275.18,2023-10-10,2023.0,2028-09-13,2028.0,Green,,World Bank Green Bond,,,
WB-XS2690981555,,XS2690981555,IBRD,Multilateral Dev Bank,World,EUR,25000000.0,26522500.0,2023-10-06,2023.0,2038-09-19,2038.0,Green,,World Bank Green Bond,,,
WB-XS2576077809,,XS2576077809,IBRD,Multilateral Dev Bank,World,IDR,800000000000.0,51513200.26,2023-10-04,2023.0,2029-01-19,2029.0,Green,,World Bank Green Bond,,,
