type,maturity,denominated_currency,volume,coupon,settlement_date,maturity_date,usd_equivalent,isin,final_terms,institution
Green,6.050000,BRL,60000000.000000,0.107500,2025-09-23,2031-10-09,11290929.620000,XS2913418377,https://thedocs.worldbank.org/en/doc/17412056483857861356c88784d21ee7-0340022025/original/ft-XS2913418377.pdf,IBRD
Green,6.000000,BRL,60000000.000000,0.107500,2025-08-12,2031-10-09,10888106.560000,XS2913418377,https://thedocs.worldbank.org/en/doc/1243566b623b2bdf3170d1dbfcd836cb-0340022025/original/ft-XS2913418377.pdf,IBRD
Green,3.000000,USD,30000000.000000,0.046000,2024-02-16,2029-02-16,30000000.000000,US45906M4W82,,IBRD
Green,5.000000,BRL,200000000.000000,0.095000,2024-02-01,2029-02-09,40650406.500000,XS2439224705,https://thedocs.worldbank.org/en/doc/3ae206b493a0e9856f5afa1e2f3296f8-0340022024/original/ft-XS2439224705.pdf,IBRD
Green,5.000000, CNH ,200000000.000000,0.022500,2024-01-30,2029-01-19,27892057.740000,XS2437747210,https://thedocs.worldbank.org/en/doc/b294653de3574d60765a1e7f5ef4323d-0340022024/original/ft-2024-XS2437747210.pdf,IBRD
Green,7.000000, INR ,4500000000.000000,0.070000,2024-01-25,2031-01-25,54171180.930000,XS2749786195,https://thedocs.worldbank.org/en/doc/e3f34944f101a87c14fe5060c411643e-0340022024/original/ft-2024-XS2749786195.pdf,IBRD
Green,7.000000, CNH ,150000000.000000,0.025000,2024-01-16,2031-01-13,20939484.890000,XS2707161308,https://thedocs.worldbank.org/en/doc/98e6b0f46670b0a94cfdfb779f11ea0c-0340022024/original/ft-2024-XS2707161308.pdf,IBRD
Green,5.000000, BRL ,125000000.000000,0.095000,2024-01-11,2029-02-09,25354969.570000,XS2439224705,https://thedocs.worldbank.org/en/doc/216a48f3bb9eb0ab71c9598e9fdec7a7-0340022024/original/ft-2024-XS2439224705.pdf,IBRD
Green,5.000000,SEK,2500000000.000000,0.027500,2023-12-18,2028-12-18,239005736.140000,XS2735317930,,IBRD
Green,5.000000,CNH,150000000.000000,0.022500,2023-12-06,2029-01-19,21008697.600000,XS2437747210,https://thedocs.worldbank.org/en/doc/828d5619ebd63f30b46eb320c2540d5b-0340022023/original/ft-2023-XS2437747210.pdf,IBRD
Green,13.000000,AUD,30000000.000000,0.017800,2023-10-25,2036-09-30,19065000.000000,XS2390290786,,IBRD
Green,8.000000,CNH,500000000.000000,0.025000,2023-10-20,2031-01-13,68424725.960000,XS2707161308,https://thedocs.worldbank.org/en/doc/d2982afca3fab08df611efe8cc0f4da2-0340022023/original/ft-2023-XS2707161308.pdf,IBRD
Green,5.000000,KZT,5000000000.000000,0.127500,2023-10-10,2028-09-13,10474275.180000,XS2681932518,https://thedocs.worldbank.org/en/doc/31c2c48eae62d9ea670f1e98137714e1-0340022023/original/ft-2023-XS2681932518-v2.pdf,IBRD
Green,15.000000,EUR,25000000.000000,0.040000,2023-10-06,2038-09-19,26522500.000000,XS2690981555,https://thedocs.worldbank.org/en/doc/d43f9f7547c5f517c3fcad59b3e07ecf-0340022023/original/ft-2023-XS2690981555-t2.pdf,IBRD
Green,6.000000,IDR,800000000000.000000,0.062500,2023-10-04,2029-01-19,51513200.260000,XS2576077809,https://thedocs.worldbank.org/en/doc/d826bc4bb5454f0581910b6261b257c6-0340022023/original/ft-2023-XS2576077809-t2.pdf,IBRD
Green,6.000000,CNH,178000000.000000,0.022500,2023-08-22,2029-01-19,24336222.690000,XS2437747210,https://thedocs.worldbank.org/en/doc/bb7d7d02f27b03f680dbc7f1114406c5-0340022023/original/ft-2023-XS2437747210-t8.pdf,IBRD
Green,6.000000,BRL,100000000.000000,0.095000,2023-08-08,2029-02-09,20962602.720000,XS2439224705,https://thedocs.worldbank.org/en/doc/007e4577fa2b9cd11b0f3b306686b121-0340022023/original/ft-2023-XS2439224705-t3.pdf,IBRD
