As Of,NAV,Daily NAV Change,Daily NAV Change %
31-May-23,9.14,0.04,0.41
30-May-23,9.1,0.1,1.16
26-May-23,9,-0.02,-0.25
25-May-23,9.02,-0.03,-0.31
24-May-23,9.05,0,0.01
23-May-23,9.05,-0.01,-0.11
22-May-23,9.06,-0.01,-0.15
19-May-23,9.07,0.01,0.11
18-May-23,9.06,-0.06,-0.69
17-May-23,9.12,0,-0.03
16-May-23,9.13,-0.03,-0.29
15-May-23,9.15,-0.02,-0.23
12-May-23,9.17,-0.03,-0.29
11-May-23,9.2,0.04,0.41
10-May-23,9.16,0.03,0.36
09-May-23,9.13,-0.03,-0.35
05-May-23,9.16,-0.04,-0.48
04-May-23,9.21,0.02,0.2
03-May-23,9.19,0.01,0.06
02-May-23,9.18,0.02,0.26
28-Apr-23,9.16,0.07,0.72
27-Apr-23,9.09,-0.04,-0.43
26-Apr-23,9.13,-0.01,-0.13
25-Apr-23,9.15,0.06,0.69
24-Apr-23,9.08,0.01,0.1
21-Apr-23,9.07,-0.01,-0.16
20-Apr-23,9.09,0.03,0.29
19-Apr-23,9.06,-0.03,-0.31
18-Apr-23,9.09,0.01,0.15
17-Apr-23,9.08,-0.03,-0.33
14-Apr-23,9.11,-0.03,-0.32
13-Apr-23,9.14,0,-0.03
12-Apr-23,9.14,-0.02,-0.23
11-Apr-23,9.16,-0.07,-0.71
06-Apr-23,9.23,0,0
05-Apr-23,9.23,0.04,0.43
04-Apr-23,9.19,0,0.01
03-Apr-23,9.19,0.05,0.55
31-Mar-23,9.14,0.03,0.38
30-Mar-23,9.1,-0.02,-0.2
29-Mar-23,9.12,0,-0.01
28-Mar-23,9.12,-0.04,-0.46
27-Mar-23,9.16,-0.05,-0.55
24-Mar-23,9.22,0.03,0.3
23-Mar-23,9.19,0.06,0.7
22-Mar-23,9.12,-0.01,-0.09
21-Mar-23,9.13,-0.05,-0.55
20-Mar-23,9.18,-0.03,-0.32
17-Mar-23,9.21,0.06,0.7
16-Mar-23,9.15,-0.05,-0.51
15-Mar-23,9.19,0.13,1.44
14-Mar-23,9.06,-0.1,-1.04
13-Mar-23,9.16,0.09,1.03
10-Mar-23,9.07,0.09,1.04
09-Mar-23,8.97,0,-0.02
08-Mar-23,8.97,0.03,0.31
07-Mar-23,8.95,0.01,0.07
06-Mar-23,8.94,0.01,0.08
03-Mar-23,8.93,0.02,0.22
02-Mar-23,8.91,-0.02,-0.18
01-Mar-23,8.93,-0.04,-0.44
28-Feb-23,8.97,-0.02,-0.27
27-Feb-23,8.99,-0.02,-0.2
24-Feb-23,9.01,-0.04,-0.43
23-Feb-23,9.05,0.02,0.24
22-Feb-23,9.03,0.01,0.08
21-Feb-23,9.02,-0.06,-0.67
17-Feb-23,9.08,0.01,0.13
16-Feb-23,9.07,-0.01,-0.16
15-Feb-23,9.08,-0.02,-0.25
14-Feb-23,9.11,-0.03,-0.37
13-Feb-23,9.14,0,-0.01
10-Feb-23,9.14,-0.04,-0.47
09-Feb-23,9.18,0.02,0.18
08-Feb-23,9.17,-0.02,-0.2
07-Feb-23,9.19,-0.01,-0.11
06-Feb-23,9.2,-0.05,-0.59
03-Feb-23,9.25,-0.08,-0.86
02-Feb-23,9.33,0.14,1.56
01-Feb-23,9.19,0.01,0.09
31-Jan-23,9.18,0.01,0.15
30-Jan-23,9.17,-0.03,-0.3
27-Jan-23,9.19,-0.01,-0.14
26-Jan-23,9.21,-0.03,-0.29
25-Jan-23,9.23,0,0.04
24-Jan-23,9.23,0.03,0.33
23-Jan-23,9.2,-0.02,-0.2
20-Jan-23,9.22,-0.07,-0.71
19-Jan-23,9.28,-0.03,-0.31
18-Jan-23,9.31,0.06,0.7
17-Jan-23,9.25,0.04,0.46
13-Jan-23,9.2,0,-0.03
12-Jan-23,9.21,0.04,0.46
11-Jan-23,9.17,0.07,0.78
10-Jan-23,9.09,-0.03,-0.36
09-Jan-23,9.13,-0.01,-0.06
06-Jan-23,9.13,0.07,0.75
05-Jan-23,9.06,-0.03,-0.32
04-Jan-23,9.09,0.07,0.73
03-Jan-23,9.03,0.04,0.47
29-Dec-22,8.99,0.02,0.25
28-Dec-22,8.96,-0.09,-0.97
22-Dec-22,9.05,-0.02,-0.25
21-Dec-22,9.07,0,0
20-Dec-22,9.07,-0.07,-0.72
19-Dec-22,9.14,-0.03,-0.28
16-Dec-22,9.16,-0.06,-0.65
15-Dec-22,9.22,-0.06,-0.69
14-Dec-22,9.29,-0.02,-0.17
13-Dec-22,9.3,0.02,0.23
12-Dec-22,9.28,0,-0.01
09-Dec-22,9.28,-0.06,-0.67
08-Dec-22,9.35,-0.01,-0.09
07-Dec-22,9.35,0.02,0.19
06-Dec-22,9.34,0.04,0.42
05-Dec-22,9.3,-0.01,-0.06
02-Dec-22,9.3,-0.01,-0.12
01-Dec-22,9.31,0.08,0.89
30-Nov-22,9.23,0,-0.04
29-Nov-22,9.24,0.03,0.31
28-Nov-22,9.21,0,-0.03
25-Nov-22,9.21,-0.01,-0.15
23-Nov-22,9.22,0.05,0.58
22-Nov-22,9.17,0.02,0.18
21-Nov-22,9.15,0.02,0.21
18-Nov-22,9.14,0.01,0.1
17-Nov-22,9.13,-0.02,-0.2
16-Nov-22,9.14,0.06,0.65
15-Nov-22,9.09,0.05,0.57
14-Nov-22,9.03,-0.06,-0.63
10-Nov-22,9.09,0.12,1.39
09-Nov-22,8.97,0.05,0.55
08-Nov-22,8.92,0.04,0.45
07-Nov-22,8.88,-0.01,-0.09
04-Nov-22,8.88,-0.02,-0.19
03-Nov-22,8.9,-0.06,-0.66
02-Nov-22,8.96,0,-0.03
01-Nov-22,8.96,0.02,0.19
31-Oct-22,8.95,-0.05,-0.51
28-Oct-22,8.99,-0.03,-0.35
27-Oct-22,9.02,0.07,0.8
26-Oct-22,8.95,0.03,0.33
25-Oct-22,8.92,0.09,1.07
24-Oct-22,8.83,0.05,0.62
21-Oct-22,8.77,-0.03,-0.29
20-Oct-22,8.8,-0.02,-0.28
19-Oct-22,8.82,-0.05,-0.51
18-Oct-22,8.87,0.02,0.24
17-Oct-22,8.85,0.04,0.45
14-Oct-22,8.81,-0.02,-0.24
13-Oct-22,8.83,0.01,0.1
12-Oct-22,8.82,-0.03,-0.38
11-Oct-22,8.85,-0.07,-0.79
07-Oct-22,8.92,-0.07,-0.74
06-Oct-22,8.99,-0.04,-0.42
05-Oct-22,9.03,-0.09,-0.97
