Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,RE or EE,Share of CE Component,"Project Life
(Years)b","Annual Energy Savings
(MWh)b",Annual Energy Produced (MWh)b,"Renewable Capacity Added
(MW)b",Annual GHG Emission Avoided (ton of CO2 Equivalent)b,Target Resultsb,"Total Project Cost
($ million)",Loan Approval ($ million)c,"Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
http://www.adb.org/projects/40061-013/main?page-2=1,"Indonesia: Java–Bali Electricity Distribution Performance Improvement (2619/FY2010).
Reduce distribution system losses and, with an energy-efficient lighting program, reduce demand-side energy consumption.",M,EE,80.0%,40,"400,000",n/a,n/a,"330,000","• Deferral of new distribution network investment by $100 million.
• Overall distribution loss reduced to 7.0% from 8.4% in 2008.
• System average interruption frequency index reduced to 3.0 times per year per customer from 6.8 in 2008.
• Fully disbursed.",120.00,50.00,40.00,16.70, (9.52)
http://www.adb.org/projects/40682-013/main?page-3=1,"China, People's Republic of: Integrated Renewable Biomass Energy Development Sector (2632/FY2010). Improve performance of biogas subsector through the demonstration of an integrated renewable biomass energy system in poor rural areas of Heilongjiang, Henan, Jiangxi, and Shandong provinces in the People's Republic of China.",M,RE,100.0%,15,"27,222","92,000",…,"1,000,000","• About 90% of the wastes of subproject farms collected and treated via the biogas plant project.
• About 70 million m3 of biogas produced every year for rural energy use.
• About 41,000 households, including 8,000 poor households, benefited from improved access to clean energy.
• About 27,000 farmers increased their incomes through expanded contract farming.
• GHG emissions reduced by about 1 million tons of CO2 equivalent.
• Fully disbursed.",152.54,66.08,66.08,36.30, (19.85)
http://www.adb.org/projects/41504-023/main?page-2=1&page-3=1,"Papua New Guinea: Town Electrification Investment Program, Tranche 1 (2713/FY2010). Increase generation and use of renewable energy in provincial areas.",M,RE,100.0%,30,n/a,"35,600",6.0,"35,000","• Six additional small hydropower plants installed in target provincial areas by end of 2016.
• Power outages reduced by 20% in target provincial urban areas by end of 2016.
• Fuel costs for PNG Power Limited power generation reduced by 60% in target provincial areas by end of 2016.
• Fully disbursed.",71.60,37.70,37.70,35.60, (10.02)
http://www.adb.org/projects/44431-013/main?page-2=1&page-3=1,"India: Gujarat Solar Power Transmission (2778/FY2011). Develop the infrastructure to transmit power from the solar power generation plants to be located in the 2,500 ha Charanka Solar Park in Patan district of Gujarat; the solar park will host more than 500 MW of both solar photovoltaic and concentrated solar power plants.",M,RE,100.0%,40,n/a,n/a,n/a,n/a,"• Up to 500 MW of power can be evacuated from the Charanka Solar Park over the transmission link to the Gujarat and national grid commencing in 2014 (2010 baseline: 0 MW).
• Fully disbursed.
",133.69,65.60,65.60,49.14, (28.10)
http://www.adb.org/projects/46906-014/main,"China, People’s Republic of:Agricultural and
Municipal Waste-to-Energy Project
(7368/2899/2900/FY2012). Increase power generation from municipal solid waste, a form of renewable energy resource.",M,RE,100.0%,40,n/a,"496,000",84.0,"255,200","• 70% of municipal solid waste in the PRC properly treated, with 30.0% incinerated in cities, by 2020 (2010 baseline: 63.5% properly treated, with 14.7% incinerated in cities).
• 3-GW capacity of municipal WTE plants installed in the PRC by 2020 (2010 baseline: about 500 MW).
• About 7,300 tons of additional waste per day treated by 2018.
• Fully disbursed.",200.00,100.00,100.00,80.00, (71.18)
https://www.adb.org/projects/46914-014/main#project-pds,"Regional: Southeast Asia Energy Efficiency Project (Cofely Southeast Asia Pte) (7371/2919/FY2012). Support the investment program to expand and upgrade energy efficiency services in Cambodia, Indonesia, the Lao People’s Democratic Republic, Malaysia, the Philippines, Thailand, and Viet Nam by removing financial constraints and information barriers that inhibit the development of an energy efficiency market.",M,EE,100.0%,20,"150,000",n/a,n/a,"90,000","• Annual energy savings of at least 150,000 MWh equivalent from energy efficiency projects by 2019.
• Average annual CO2 equivalent emissions of 90,000 tons avoided by 2019.
• Average annual net savings of $10 million from energy efficiency projects by 2019.",200.00,20.00,20.00,16.03, (9.36)
http://www.adb.org/projects/46930-014/main?page-2=1,"China, People's Republic of: Dynagreen Waste-to-Energy Project (7377/2960/FY2012). Increase power generation from municipal solid waste, a form of renewable energy.",M,RE,100.0%,40,n/a,"610,000",120.0,"450,000","• Average of 2.8 million tons of municipal solid waste treated per year by 2018.
• About 610 GWh of clean energy produced annually by WTE plants by 2018.
• About 450,000 tons of CO2 equivalent emissions avoided per year by 2018.
• Up to 700 local workers employed by nine WTE plants during operation. ",378.50,100.00,100.00,108.63, (77.77)
http://www.adb.org/projects/46058-002/main?page-2=1,"China, People's Republic of: Qinghai Delingha Concentrated Solar Power Thermal Project (3075/FY2013). Increase solar power generation using concentrated solar power technology; increase share of renewable energy in the total primary energy consumption.",M,RE,100.0%,25,n/a,"197,000",50.0,"154,446","• 50-MW Qinghai Delingha plant operated reliably and designed output delivered (baseline: 0 MW in 2013).
• 197 GWh of clean electricity generated annually, thereby avoiding 154,446 tons of CO2 equivalent emissions per year by 2017 (baseline: 0 GWh in 2013).
• Fully disbursed.",322.26,150.00,150.00,119.18, (38.78)
http://www.adb.org/projects/42916-014/main?page-2=1,Indonesia: Sarulla Geothermal Power Generation Project (7397/3089/FY2013). Increase use of geothermal resources for power generation.,M,RE,100.0%,30,n/a,"2,529,000",320.0,"1,300,000","• Annual electricity production of 2,529 GWh from 2018 onward.
• Net reduction of 1.3 million tons of CO2 equivalent emissions per year from 2018 onward.
• Employment equivalent to 100 full-time skilled or semi-skilled jobs provided during operations by 2020.","1,239.30",250.00,250.00,250.00, (112.91)
http://www.adb.org/projects/46453-002/main?page-2=1,Cook Islands: Renewable Energy Sector Project (3193/FY2014). Increase solar power generation capacity by 3 MWp.,M,RE,100.0%,25,n/a,"4,870",3.0,"2,930","• Core subprojects: 780-kW installed capacity of solar photovoltaic power system connected to the existing power grid in Mangaia, Mauke, and Mitiaro Islands by end of 2016.
• Non-core subprojects: 2,400-kW installed capacity of solar photovoltaic power system connected to the existing power grid in Atiu, Aitutaki, and Rarotonga islands by end of 2017.
• Energy efficiency policy implementation plan developed by end of 2017.",24.28,11.19,11.19,8.08, (2.70)
