symbol,date,price,yield_to_maturity,yield_to_worst,nav
ISHARES_GB_INDEX_IE,2017-03-16,10.0,,,10.0
ISHARES_GB_INDEX_IE,2017-03-17,10.01,,,10.01
ISHARES_GB_INDEX_IE,2017-03-20,10.01,,,10.01
ISHARES_GB_INDEX_IE,2017-03-21,10.01,,,10.01
ISHARES_GB_INDEX_IE,2017-03-22,10.04,,,10.04
ISHARES_GB_INDEX_IE,2017-03-23,10.03,,,10.03
ISHARES_GB_INDEX_IE,2017-03-24,10.05,,,10.05
ISHARES_GB_INDEX_IE,2017-03-27,10.06,,,10.06
ISHARES_GB_INDEX_IE,2017-03-28,10.06,,,10.06
ISHARES_GB_INDEX_IE,2017-03-29,10.07,,,10.07
ISHARES_GB_INDEX_IE,2017-03-30,10.07,,,10.07
ISHARES_GB_INDEX_IE,2017-03-31,10.06,,,10.06
ISHARES_GB_INDEX_IE,2017-04-03,10.08,,,10.08
ISHARES_GB_INDEX_IE,2017-04-04,10.1,,,10.1
ISHARES_GB_INDEX_IE,2017-04-05,10.1,,,10.1
ISHARES_GB_INDEX_IE,2017-04-06,10.1,,,10.1
ISHARES_GB_INDEX_IE,2017-04-07,10.11,,,10.11
ISHARES_GB_INDEX_IE,2017-04-10,10.11,,,10.11
ISHARES_GB_INDEX_IE,2017-04-11,10.12,,,10.12
ISHARES_GB_INDEX_IE,2017-04-12,10.13,,,10.13
ISHARES_GB_INDEX_IE,2017-04-13,10.15,,,10.15
ISHARES_GB_INDEX_IE,2017-04-18,10.16,,,10.16
ISHARES_GB_INDEX_IE,2017-04-19,10.15,,,10.15
ISHARES_GB_INDEX_IE,2017-04-20,10.15,,,10.15
ISHARES_GB_INDEX_IE,2017-04-21,10.14,,,10.14
ISHARES_GB_INDEX_IE,2017-04-24,10.14,,,10.14
ISHARES_GB_INDEX_IE,2017-04-25,10.12,,,10.12
ISHARES_GB_INDEX_IE,2017-04-26,10.13,,,10.13
ISHARES_GB_INDEX_IE,2017-04-27,10.15,,,10.15
ISHARES_GB_INDEX_IE,2017-04-28,10.15,,,10.15
ISHARES_GB_INDEX_IE,2017-05-02,10.16,,,10.16
ISHARES_GB_INDEX_IE,2017-05-03,10.16,,,10.16
ISHARES_GB_INDEX_IE,2017-05-04,10.14,,,10.14
ISHARES_GB_INDEX_IE,2017-05-05,10.13,,,10.13
ISHARES_GB_INDEX_IE,2017-05-08,10.13,,,10.13
ISHARES_GB_INDEX_IE,2017-05-09,10.12,,,10.12
ISHARES_GB_INDEX_IE,2017-05-10,10.13,,,10.13
ISHARES_GB_INDEX_IE,2017-05-11,10.12,,,10.12
ISHARES_GB_INDEX_IE,2017-05-12,10.15,,,10.15
ISHARES_GB_INDEX_IE,2017-05-15,10.14,,,10.14
ISHARES_GB_INDEX_IE,2017-05-16,10.14,,,10.14
ISHARES_GB_INDEX_IE,2017-05-17,10.17,,,10.17
ISHARES_GB_INDEX_IE,2017-05-18,10.18,,,10.18
ISHARES_GB_INDEX_IE,2017-05-19,10.17,,,10.17
ISHARES_GB_INDEX_IE,2017-05-22,10.16,,,10.16
ISHARES_GB_INDEX_IE,2017-05-23,10.16,,,10.16
ISHARES_GB_INDEX_IE,2017-05-24,10.16,,,10.16
ISHARES_GB_INDEX_IE,2017-05-25,10.18,,,10.18
ISHARES_GB_INDEX_IE,2017-05-26,10.19,,,10.19
ISHARES_GB_INDEX_IE,2017-05-30,10.21,,,10.21
ISHARES_GB_INDEX_IE,2017-05-31,10.22,,,10.22
ISHARES_GB_INDEX_IE,2017-06-01,10.21,,,10.21
